src_ip_count,dst_ip_count,label
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
0,0,0
0,0,0
1,1.0,0
2,0.5,0
1,1.0,0
0,0,0
1,1.0,0
0,0,0
1,1.0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
2,0.5,0
0,0,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
1,1.0,0
0,0,0
3,0.3333333333333333,0
0,0,0
1,1.0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
0,0,0
1,1.0,0
2,0.5,0
2,0.5,0
1,1.0,0
2,0.5,0
2,0.5,0
0,0,0
0,0,0
0,0,0
1,1.0,0
2,0.3333333333333333,0
0,0,0
3,0.3333333333333333,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.3333333333333333,0
1,1.0,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
3,0.3333333333333333,0
2,0.5,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
1,1.0,0
1,1.0,0
2,0.5,0
2,0.5,0
0,0,0
0,0,0
3,0.3333333333333333,0
3,0.3333333333333333,0
1,1.0,0
2,0.5,0
2,0.5,0
2,0.5,0
2,0.5,0
0,0,0
2,0.5,0
2,0.5,0
1,1.0,0
1,1.0,0
4,0.25,0
0,0,0
0,0,0
1,1.0,0
1,1.0,0
1,1.0,0
0,0,0
